date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,22.4,16.4,29,0,,,13.5,,1015.6,
2025-01-02 00:00:00,21.2,16.1,28,0,,,12.3,,1015.5,
2025-01-03 00:00:00,21.7,15.8,28,0,,,14.6,,1015.6,
2025-01-04 00:00:00,20.9,14.2,28,0,,,12.2,,1014.7,
2025-01-05 00:00:00,21.3,15.1,29,0,,,9.4,,1014.9,
2025-01-06 00:00:00,21.5,14.6,29,0,,,13.9,,1014.6,
2025-01-07 00:00:00,21.7,14.7,28,0,,,7.1,,1014.3,
2025-01-08 00:00:00,21.9,15.5,28,0,,,9,,1014.1,
2025-01-09 00:00:00,21.3,14.7,27,0,,,14,,1015.3,
2025-01-10 00:00:00,22.1,16.7,28,0,,,10.6,,1016.4,
2025-01-11 00:00:00,22.7,18.3,28,0,,,11.3,,1016.2,
2025-01-12 00:00:00,23.3,19,30,0,,,11.6,,1015.8,
2025-01-13 00:00:00,23.3,20.1,28,6.4,,,14.1,,1014.5,
2025-01-14 00:00:00,23.2,19.7,27,2.1,,,15.8,,1015.4,
2025-01-15 00:00:00,22.5,18.6,27,0,,,16.1,,1016.6,
2025-01-16 00:00:00,22.4,17.1,28,0,,,15.7,,1015.9,
2025-01-17 00:00:00,22.3,18.2,27,0,,,16.6,,1014.7,
2025-01-18 00:00:00,22.6,17.1,28,0,,,15.4,,1014.2,
2025-01-19 00:00:00,21.9,19.1,26.7,3.5,,,11.9,,1014.7,
2025-01-20 00:00:00,23.6,19.3,30,0,,,11.7,,1014,
2025-01-21 00:00:00,22.1,15.5,29,0,,,11.2,,1013.6,
2025-01-22 00:00:00,22.7,15,30,0,,,11.2,,1013.2,
2025-01-23 00:00:00,23.4,18.1,31,0,,,12,,1013.5,
2025-01-24 00:00:00,22,15.9,30,0,,,12,,1012.7,
2025-01-25 00:00:00,23,15.3,31,0,,,11.3,,1013.7,
2025-01-26 00:00:00,22.8,15.2,30,0,,,14.7,,1013.6,
2025-01-27 00:00:00,22.2,14.9,30,0,,,9.9,,1013,
2025-01-28 00:00:00,22.2,14.8,30,0,,,8.3,,1013.5,
2025-01-29 00:00:00,23.3,16,32,0,,,10.5,,1014.2,
2025-01-30 00:00:00,23.6,16.7,30,0,,,7.3,,1013.7,
2025-01-31 00:00:00,24.7,17.8,32,0,,,7.8,,1012.9,
2025-02-01 00:00:00,24.7,18.9,32,0,,,7.1,,1013.7,
2025-02-02 00:00:00,24.6,17.5,32,0,,,15.6,,1013.8,
2025-02-03 00:00:00,23.7,16.3,32,0,,,8.2,,1014.2,
2025-02-04 00:00:00,23.8,15.5,32,0,,,8.5,,1014.5,
2025-02-05 00:00:00,24.1,16.3,31,0,,,11.4,,1013.7,
2025-02-06 00:00:00,23.8,15.8,31,0,,,12.4,,1013.2,
2025-02-07 00:00:00,23.8,15.7,32,0,,,10.8,,1014.3,
2025-02-08 00:00:00,23.8,15.8,31,0,,,12.5,,1014.7,
2025-02-09 00:00:00,23.6,16.6,31,0,,,12.5,,1014.3,
2025-02-10 00:00:00,23.6,17.4,30,0,,,11.1,,1015.3,
2025-02-11 00:00:00,23.8,16.2,32,0,,,8.5,,1015.6,
2025-02-12 00:00:00,24,15.6,33,0,,,10.6,,1015.3,
2025-02-13 00:00:00,24.3,15.5,33,0,,,8.9,,1014.7,
2025-02-14 00:00:00,24.3,17.2,33,0,,,7,,1014.6,
2025-02-15 00:00:00,25,17.1,34.1,0,,,8.4,,1013.8,
2025-02-16 00:00:00,24.4,16.9,33,0,,,9,,1013.9,
2025-02-17 00:00:00,24.7,16.9,32,0,,,9.5,,1015.2,
2025-02-18 00:00:00,25.1,18,32,0,,,7,,1016.1,
2025-02-19 00:00:00,25.4,17.4,34,0,,,6.2,,1013.8,
2025-02-20 00:00:00,25.5,19.3,33,0,,,8.5,,1014.2,
2025-02-21 00:00:00,25.7,18.2,34,0,,,8.5,,1015.5,
2025-02-22 00:00:00,25.6,18.2,33,0,,,8.3,,1016.1,
2025-02-23 00:00:00,25.3,18.8,32,0,,,11.9,,1016.1,
2025-02-24 00:00:00,25.4,18.3,32,0,,,20.7,,1015.8,
2025-02-25 00:00:00,25.1,17.5,32,0,,,21.9,,1017.1,
2025-02-26 00:00:00,25.7,18.6,32,0,,,14.4,,1016.8,
2025-02-27 00:00:00,25.5,17.9,32,0,,,20.4,,1015.6,
2025-02-28 00:00:00,25.5,17.3,32,0,,,12.5,,1014.4,
2025-03-01 00:00:00,25.7,20.2,32,0,,,27.5,,1013.9,
2025-03-02 00:00:00,26,20.1,33,0,,,11.3,,1012.8,
2025-03-03 00:00:00,26.5,21.2,33,0,,,8,,1013,
2025-03-04 00:00:00,27.3,20.2,35,0,,,18.4,,1012.8,
2025-03-05 00:00:00,26.9,20.6,33,0,,,8.7,,1013.1,
2025-03-06 00:00:00,26.8,19.8,34,0,,,7.9,,1013.9,
2025-03-07 00:00:00,26.3,20,34,0,,,8.1,,1012.5,
2025-03-08 00:00:00,27,20.9,34,0,,,9.5,,1011.5,
2025-03-09 00:00:00,26.7,19,34,0,,,10.8,,1011.8,
2025-03-10 00:00:00,25.7,18.2,32,0,,,13.1,,1014,
2025-03-11 00:00:00,24.7,17.8,33,4.2,,,15.8,,1014.6,
2025-03-12 00:00:00,24.9,20.5,33,3.9,,,15.3,,1012.8,
2025-03-13 00:00:00,26,18.3,33.8,0,,,9.7,,1011.3,
2025-03-14 00:00:00,26.7,20.5,34.3,0,,,10.5,,1011.6,
2025-03-15 00:00:00,,,,,,,,,,
2025-03-16 00:00:00,,,,,,,,,,
2025-03-17 00:00:00,,,,,,,,,,
2025-03-18 00:00:00,,,,,,,,,,
2025-03-19 00:00:00,,,,,,,,,,
2025-03-20 00:00:00,,,,,,,,,,
2025-03-21 00:00:00,,,,,,,,,,
2025-03-22 00:00:00,25.8,21,34,3.7,,,7.6,,1015.6,
2025-03-23 00:00:00,25.3,20.2,33,13.5,,,7.6,,1015.7,
2025-03-24 00:00:00,26.3,19.7,33,1.5,,,7.4,,1014.7,
2025-03-25 00:00:00,27.4,21.2,34,0,,,8.9,,1012.1,
2025-03-26 00:00:00,26.8,20.8,34,0,,,10.4,,1011.3,
2025-03-27 00:00:00,27.4,21.1,34,0,,,8.7,,1011.3,
2025-03-28 00:00:00,28,21.5,35,0,,,9.6,,1010.5,
2025-03-29 00:00:00,28,21.4,36,0,,,9,,1010.6,
2025-03-30 00:00:00,27.4,19.5,35.4,0,,,10.7,,1011.2,
2025-03-31 00:00:00,27.1,19.8,35,0,,,9.2,,1011.3,
2025-04-01 00:00:00,26.8,20.8,34,0,,,7.9,,1010.7,
2025-04-02 00:00:00,26.6,21.9,33.1,0.3,,,10.6,,1011.4,
2025-04-03 00:00:00,24.6,20.9,31,14.3,,,8.4,,1014.5,
